Ngày đăng,Tiêu đề,Giá,Diện tích,Địa chỉ,Mô tả,Link
"Thứ 7, 11:16 18/07/2026","Phòng có WC khép kín rộng thoáng Lĩnh Nam, thang máy, nóng lạnh, điều hòa Lĩnh Nam",2.5 triệu/tháng,21 m2,"Hoàng Mai, Hà Nội","- Phòng khép kín ko chung chủ, có nhà vệ sinh riêng, điều hòa, bệ bếp, thang máy, bình nóng lạnh, chỗ để máy giặt, cửa sổ thoáng tiếp xúc trực tiếp với…",https://phongtro123.com/phong-co-wc-khep-kin-rong-thoang-linh-nam-thang-may-nong-lanh-dieu-hoa-linh-nam-2-pr655302.html
"Thứ 7, 09:36 18/07/2026","cho thuê phòng trọ khép kín 2,3 gần Y học Tuệ tĩnh, Tài Nguyên môi trường....",2.3 triệu/tháng,18 m2,"Bắc Từ Liêm, Hà Nội","Cho thuê phòng trọ khép kin giá rẻ tại phú diễn giá 2,3 tr Số 21 ngõ 259/114 phú diễn Phòng 201 trống - Giá chỉ 2.3 triệu/tháng️ Ngày 15/9 ở Gần Tài…",https://phongtro123.com/cho-thue-phong-tro-khep-kin-2-3-gan-y-hoc-tue-tinh-tai-nguyen-moi-truong-pr690893.html
"Thứ 7, 09:35 18/07/2026","Cho thuê phòng trọ Phạm Tuấn Tài, cầu giấy, Gần Sư Phạm, quốc Gia, Điện lực. giá 3.9 tr",3.9 triệu/tháng,24 m2,"Cầu Giấy, Hà Nội","Cho thuê phòng trọ nhà 39 Phạm Tuấn Tài giá 3,9 tr.Địa chỉ: 39/15 Phạm Tuấn Tài, Cầu Giấy, Hà Nội.Trống phòng 501, thang bộ (xem full, ngày 10/9 vào…",https://phongtro123.com/cho-thue-phong-tro-pham-tuan-tai-cau-giay-gan-su-pham-quoc-gia-dien-luc-gia-3-9tr-pr693083.html
"Thứ 6, 10:39 17/07/2026","NHÀ 639 PHÚC DIỄN, XUÂN PHƯƠNG, NAM TỪ LIÊM",2.5 triệu/tháng,25 m2,"Nam Từ Liêm, Hà Nội","Tiện nghi: Giường, tủ, đệm, điều hòa, nóng lạnh, máy giặt chung, khoá vân tay. Ô tô đỗ cửa – thuận tiện đi lại. Chi phí:Điện:…",https://phongtro123.com/nha-639-phuc-dien-xuan-phuong-nam-tu-liem-pr709786.html
"Thứ 6, 10:36 17/07/2026",Cho thuê phòng sạch đẹp tài số 15 Phạm Tuấn Tài,4 triệu/tháng,25 m2,"Cầu Giấy, Hà Nội","Phòng sạch sẽ, thoáng máyĐầy đủ tiện nghiCó khóa cửa vân tay an toànĐịa chỉ: 15 Phố Phạm Tuấn Tài, Phường Nghĩa Đô, Hà NộiChi phí dịch…",https://phongtro123.com/trong-phong-tai-15-pham-tuan-tai-cau-giay-2-pr709785.html
"Thứ 6, 10:08 17/07/2026",TRỐNG PHÒNG TẠI 15 PHẠM TUẤN TÀI - CẦU GIẤY,4 triệu/tháng,25 m2,"Cầu Giấy, Hà Nội","️ Không gian thoáng – sạch – ở cực thích️ Đi làm, đi học đều tiện. …",https://phongtro123.com/trong-phong-tai-15-pham-tuan-tai-cau-giay-pr709783.html
"Thứ 5, 09:55 16/07/2026",CUỐI THÁNG 7 TRỐNG 1 PHÒNG TẠI 639 PHÚC DIỄN - XUÂN PHƯƠNG - NAM TỪ LIÊM,2.5 triệu/tháng,20 m2,"Nam Từ Liêm, Hà Nội","_______________________ Giá : 2tr5 Thang bộNội thất : Giường, tủ, đệm, điều hòa, nóng lạnh, máy giặt chung, khoá vân tay.Dịch vụ : Điện: 4.00đ/ số -…",https://phongtro123.com/cuoi-thang-7-trong-1-phong-tai-639-phuc-dien-xuan-phuong-nam-tu-liem-pr709722.html
"Thứ 5, 08:58 16/07/2026","Cho thuê phòng trọ giá rẻ , chính chủ",2.5 triệu/tháng,18 m2,"Hai Bà Trưng, Hà Nội","Cho thuê phòng trọ giá rẻ 18m2 phụ khép kíncó đh ,tủ lạnh ,quạt trần ,giường tủ ,bình nóng lạnhgần các trường đh bk, kinh tế qd, đh xây dựng ,không…",https://phongtro123.com/cho-thue-phong-tro-gia-re-chinh-chu-49314-pr693662.html
"Thứ 4, 09:38 15/07/2026",PHÒNG TRỌ ĐẸP – FULL NỘI THẤT – VÀO Ở NGAY TẠI LÊ QUANG ĐẠO Địa chỉ: Ngõ 8 Lê Quang Đạo,3.6 triệu/tháng,25 m2,"Nam Từ Liêm, Hà Nội","Địa chỉ: Ngõ 8 Lê Quang Đạo Phòng 201 – Giá chỉ 3,XXX triệu/tháng – Vệ sinh khép kín, có thể vào ở luôn. …",https://phongtro123.com/phong-tro-dep-full-noi-that-vao-o-ngay-tai-le-quang-dao-dia-chi-ngo-8-le-quang-dao-pr709648.html
"Thứ 3, 11:46 14/07/2026","Cho Thuê Phòng trọ Mai Dịch , Cầu Giấy Gần Đại học quốc Gia, Thương mại, Điện Lực",3.2 triệu/tháng,26 m2,"Cầu Giấy, Hà Nội","NGUYỄN KHẢ TRẠC TRỐNG 1 PHÒNG401 Vsc giá 3,2 tr/ tháng ở luônĐịa chỉ : số nhà 41 Ngõ 47 địa chỉ Nguyễn Khả Trạc, mai dịch, Cầu Giấy, Hà Nội, Gần…",https://phongtro123.com/cho-thue-phong-tro-mai-dich-cau-giay-gan-dai-hoc-quoc-gia-thuong-mai-dien-luc-pr680215.html
"Thứ 3, 11:37 14/07/2026",CHO THUÊ PHÒNG NGUYỄN KHẢ TRẠC Giá 3.xxx bé,3.4 triệu/tháng,25 m2,"Cầu Giấy, Hà Nội","Giá 3.xxx bé Địa chỉ: ngõ 47 Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy, Hà Nội Nhà thang bộ, ô tô đỗ tận cửa Nội thất đầy đủ: Giường, tủ,…",https://phongtro123.com/cho-thue-phong-nguyen-kha-trac-gia-3-xxx-be-pr709604.html
"Thứ 3, 10:19 14/07/2026",CHO THUÊ PHÒNG NGUYỄN KHẢ TRẠC,3.4 triệu/tháng,25 m2,"Cầu Giấy, Hà Nội","Địa chỉ: ngõ 47 Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy, Hà Nội Nhà thang bộ, ô tô đỗ tận cửa Nội thất đầy đủ: Giường, tủ, điều hoà, nóng…",https://phongtro123.com/cho-thue-phong-nguyen-kha-trac-pr709599.html
"Thứ 3, 09:08 14/07/2026","Cho thuê phòng tại hẻm 56, giá 2.4tr, có ban công rộng, nấu ăn tại Ngõ 89",2.4 triệu/tháng,19 m2,"Cầu Giấy, Hà Nội","Cho thuê phòng tại địa chỉ: Ngõ 89 ngách 38 hẻm 56 số 12 Lạc Long Quân.Phòng t5 đủ NT, có từ, giường...Có ban côngNấu ăn được.Toilet đủ đồ ở…",https://phongtro123.com/cho-thue-phong-tai-hem-56-gia-2-4tr-co-ban-cong-rong-nau-an-tai-ngo-89-pr647806.html
"Thứ 2, 10:57 13/07/2026",Cho thuê phòng trọ 15m2 Đường Nguyên Hồng (gần Hồ Thành Công),1.5 triệu/tháng,15 m2,"Ba Đình, Hà Nội","Phòng trọ 15m2 .- Giường , Tủ quần áo, Điều hoà, nóng lạnh , intenet, ...... đầy đủ.- Giờ giấc tự do....- Gần ĐH luật, ngoại Thương, GTVT, gần chợ…",https://phongtro123.com/cho-thue-phong-tro-15m2-duong-nguyen-hong-gan-ho-thanh-cong-pr708413.html
"Thứ 2, 10:24 13/07/2026",PHÒNG TRỌ KHÉP KÍN – VÀO Ở NGAY – CẦU GIẤY,3.4 triệu/tháng,25 m2,"Cầu Giấy, Hà Nội","Địa chỉ: Nhà 11A, ngõ 35 Trần Thái Tông, Dịch Vọng, Cầu Giấy Phòng 302 khép kín – Giá chỉ 3,4 triệu/tháng– Có thể vào ở luôn. Vị trí cực…",https://phongtro123.com/phong-tro-khep-kin-vao-o-ngay-cau-giay-pr709551.html
"Thứ 2, 03:53 13/07/2026","Cho nữ thuê (share) phòng trọ đẹp 20m2 trong CCMN ngõ 245 phố Định Công, 1,5tr full nội thất",1.5 triệu/tháng,20 m2,"Hoàng Mai, Hà Nội",+ Cho nữ share phòng trọ 20m2 trong căn CCMN 45m2.Phòng riêng rất đẹp.Thang máy.Giờ giấc tự do. Khoá cổng vân tay. Để xe tầng 1.Nội thất full. (Có sẵn:…,https://phongtro123.com/cho-nu-thue-share-phong-tro-dep-20m2-trong-ccmn-pho-dinh-cong-hoang-mai-1-5tr-full-noi-that-2-pr694155.html
"Thứ 7, 13:11 11/07/2026","Cho Thuê Phòng Trọ Ban Công Thoáng Mát, CCMN 7 Tầng, Q Long Biên",3 triệu/tháng,25 m2,"Long Biên, Hà Nội","Căn hộ cao cấp CCMN Việt Hưng, Q Long Biên 28m² 1PN- Gia cho thuê: 3 triệu.- Cho thuê căn hộ chung cư mini cao cấp 7 tầng mới xây, có ban công, thang máy tốc…",https://phongtro123.com/cho-thue-phong-tro-ban-cong-thoang-mat-ccmn-7-tang-q-long-bien-pr708119.html
"Thứ 7, 11:43 11/07/2026","PHÒNG TRỌ PHÚ DIỄN – VÀO Ở NGAY Nhà số 39, ngõ 193 Phú Diễn, Bắc Từ Liêm.",3 triệu/tháng,25 m2,"Bắc Từ Liêm, Hà Nội","Nhà số 39, ngõ 193 Phú Diễn, Bắc Từ Liêm. Phòng 3.000.000đ/tháng – Vệ sinh khép kín. Full nội thất: Giường, tủ, đệm, điều hòa, bàn ghế, tủ bếp,…",https://phongtro123.com/phong-tro-phu-dien-vao-o-ngay-nha-so-39-ngo-193-phu-dien-bac-tu-liem-pr709488.html
"Thứ 7, 11:14 11/07/2026",PHÒNG TRỌ PHÚ DIỄN – VÀO Ở NGAY,2.1 triệu/tháng,25 m2,"Bắc Từ Liêm, Hà Nội","Số 1, ngõ 68/65 Phú Diễn -Bắc Từ LiêmNội thất: Giường, tủ, đệm, điều hoà, nóng lạnh, bàn bếp, máy giặt chungKhoá vân tay – Ô tô đỗ cửaGần ĐH…",https://phongtro123.com/phong-tro-phu-dien-vao-o-ngay-pr709486.html
"Thứ 6, 21:44 10/07/2026","Chủ nhà cho thuê phòng trọ khép kín 50 m2 Đường Cổ nhuế, Bắc Từ liêm cũ, Hà nội",5.4 triệu/tháng,50 m2,"Bắc Từ Liêm, Hà Nội","Chủ nhà cho thuê phòng 50m2 khép kín Ngõ 43, Đường Cổ nhuế ( Đông Ngạc) Bắc Từ liêm cũ Hà nội.Căn hộ có Phòng Ngủ, Khách riêng, Bếp, Vệ sinh.... khép…",https://phongtro123.com/chu-nha-cho-thue-phong-tro-khep-kin-50-m2-duong-co-nhue-bac-tu-liem-cu-ha-noi-pr704317.html
"Thứ 6, 21:41 10/07/2026","Gia đình cho thuê Phòng trọ khép kín. DT 28 m2, , Đường Cổ nhuế, Bắc Từ Liêm (cũ)Hà nội",3.2 triệu/tháng,28 m2,"Bắc Từ Liêm, Hà Nội","Gia đình cho thuê Phòng trọ tại Dc ngõ 43 , Đường Cổ nhuế , Phường Cổ nhuế 2 (Phường Đông Ngạc mới), Bắc Từ liêm Hà nộiNhà khép kínĐiện, nước…",https://phongtro123.com/gia-dinh-cho-thue-phong-tro-khep-kin-dt-20-m2-2-4-trieu-thang-duong-co-nhue-bac-tu-liem-hn-pr683424.html
"Thứ 6, 15:15 10/07/2026","Cho thuê phòng chính chủ Phố Phương Mai, Quận Đống Đa cũ",2.8 triệu/tháng,25 m2,"Đống Đa, Hà Nội","Cần cho thuê 1 phòng khép kín tại ngõ 15, Phố Phương Mai, Đống Đa, HN (Gần Viện Da liễu, Lão Khoa, Bạch Mai...và các Trường ĐH Bách Khoa, Xây Dựng, KTQD, ĐH…",https://phongtro123.com/cho-thue-phong-chinh-chu-pho-phuong-mai-quan-dong-da-cu-pr709446.html
"Thứ 6, 15:01 10/07/2026",Cho thuê phòng 10m2 Nhân Chính - Thanh Xuân - Hà Nội,1.2 triệu/tháng,10 m2,"Thanh Xuân, Hà Nội","Mình còn phòng tầng 1 cho thuê ở cùng với gia đình nên vì nhu cầu sinh hoạt ưu tiên cho 1 người thuêdiện tích khoảng 10m2, sạch sẽ, khép kín, an toàn, yên…",https://phongtro123.com/tinh-thanh/ha-noi/cho-thue-phong-10m2-nhan-chinh-thanh-xuan-ha-noi.html
"Thứ 6, 11:17 10/07/2026","CHO THUÊ PHÒNG TRỌ KHÉP KÍN GIÁ 2TR4 – MỸ ĐÌNH , NAM TỪ LIÊM",2.4 triệu/tháng,25 m2,"Nam Từ Liêm, Hà Nội","CHO THUÊ PHÒNG TRỌ KHÉP KÍN GIÁ 2TR4  – MỸ ĐÌNH , NAM TỪ LIÊMVị trí cực thuận tiện, gần nhiều trường đại học, cao đẳng. Mặt sau Sân vận động…",https://phongtro123.com/cho-thue-phong-tro-khep-kin-gia-2tr4-my-dinh-nam-tu-liem-2-pr709435.html
"Thứ 6, 11:14 10/07/2026","CHO THUÊ PHÒNG TRỌ GIÁ 2TR6 – MỸ ĐÌNH , NAM TỪ LIÊM",2.6 triệu/tháng,25 m2,"Nam Từ Liêm, Hà Nội","NHÀ 28, NGÕ 5 TÂN MỸ, MỸ ĐÌNH 1 – NAM TỪ LIÊMMặt sau SVĐ Mỹ Đình, gần:CĐ Bách Khoa, FPT, Đông Á, Thành Đô, Đại Việt, Bách Nghệ, ĐH Thương Mại,…",https://phongtro123.com/cho-thue-phong-tro-gia-2tr6-my-dinh-nam-tu-liem-pr709432.html
"Thứ 6, 10:52 10/07/2026","CÒN DUY NHẤT 1 PHÒNG CÓ GIÁ 2,6 TRIỆU – MỸ ĐÌNH , NAM TỪ LIÊM",2.6 triệu/tháng,25 m2,"Nam Từ Liêm, Hà Nội","CHO THUÊ PHÒNG GẦN SÂN VẬN ĐỘNG MỸ ĐÌNH Vị trí thuận tiện, gần CĐ Bách Khoa, ĐH FPT, Đông Á, Thành Đô Thương Mại, Sân khấu – Điện ảnh, phù hợp…",https://phongtro123.com/con-duy-nhat-1-phong-co-gia-2-6-trieu-my-dinh-nam-tu-liem-pr709430.html
"Thứ 6, 10:50 10/07/2026","CHO THUÊ PHÒNG TRỌ KHÉP KÍN GIÁ 2TR4 – MỸ ĐÌNH , NAM TỪ LIÊM",2.4 triệu/tháng,25 m2,"Nam Từ Liêm, Hà Nội","Địa chỉ: Nhà 28, ngõ 5 Tân Mỹ Mặt sau Sân vận động Mỹ Đình Vị trí cực thuận tiện, gần nhiều trường đại học, cao đẳng:* CĐ Bách Khoa , ĐH…",https://phongtro123.com/cho-thue-phong-tro-khep-kin-gia-2tr4-my-dinh-nam-tu-liem-pr709429.html
"Thứ 6, 07:47 10/07/2026",Chính chủ cho thuê ccmn khu vực Chùa Hà Cầu Giấy(ưu đãi thuê nhanh trong tháng),4.1 triệu/tháng,28 m2,"Cầu Giấy, Hà Nội","Vị trí: Cách mặt phố Chùa Hà - Cầu Giấy 5m.Siêu gần phố công nghệ Duy Tân, Discovery Complex, FLC Tower, công viên Cầu Giấy, các trường ĐH Giao Thông Vận…",https://phongtro123.com/chinh-chu-cho-thue-ccmn-khu-vuc-chua-ha-cau-giay-uu-tien-ho-gia-dinh-nho-pr603893.html
"Thứ 5, 17:58 09/07/2026",CHO THUÊ PHÒNG - ĐẦY ĐỦ TIỆN NGHI,2.7 triệu/tháng,25 m2,"Hoàng Mai, Hà Nội","CHO THUÊ PHÒNG– ĐỊNH CÔNG THƯỢNG - ĐẦY ĐỦ TIỆN NGHIĐịa chỉ: Số nhà 26A(nhà đầu ngõ), ngõ 220 Định Công Thượng, P. Định Công – Gần chợ, tiện…",https://phongtro123.com/cho-thue-phong-day-du-tien-nghi-pr709415.html
"Thứ 5, 14:23 09/07/2026",PHÒNG FULL ĐỒ NGAY TRUNG TÂM CẦU GIẤY - CHỈ TỪ 3,3.3 triệu/tháng,25 m2,"Cầu Giấy, Hà Nội",PHÒNG FULL ĐỒ NGAY TRUNG TÂM CẦU GIẤY - CHỈ TỪ 3Bạn không nhìn nhầm đâu! Địa chỉ: 11 TRẦN THÁI TÔNG – CẦU GIẤY Khép kín Full đồ vào ở…,https://phongtro123.com/phong-full-do-ngay-trung-tam-cau-giay-chi-tu-3-pr709280.html
"Thứ 4, 15:25 08/07/2026","CHO THUÊ CĂN STUDIO SIÊU XINH TẠI TỪ HOA, TÂY HỒ",5 triệu/tháng,30 m2,"Tây Hồ, Hà Nội","CHO THUÊ CĂN STUDIO SIÊU XINH TẠI TỪ HOA, TÂY HỒ- Số 28 ngõ 24 Từ Hoa, Tây Hồ.- Full đồ: tủ lạnh, tủ bếp, điều hòa, giường tủ, có ban công, cửa…",https://phongtro123.com/cho-thue-can-studio-sieu-xinh-tai-tu-hoa-tay-ho-pr700221.html
"Thứ 3, 16:47 07/07/2026","Nhà 5 tầng chia thành các phòng ,cho thuê làm nhà trọ tại Ngõ 70 Phố Hưng Thịnh- Yên Sở.",2.5 triệu/tháng,25 m2,"Hoàng Mai, Hà Nội","Tôi có nhà 5 tầng , mỗi tầng chia làm 3 phòng cho thuênhà trong khu tái định cư X2A đường ô tô tải tránh nhau, khu dân cư thoáng đãng sạch sẽ gần công…",https://phongtro123.com/nha-5-tang-chia-thanh-cac-phong-cho-thue-lam-nha-tro-tai-ngo-70-pho-hung-thinh-yen-so-pr709297.html
"Thứ 3, 14:52 07/07/2026",PHÒNG CHO THUÊ KHU VỰC KHƯƠNG TRUNG - NGÃ TƯ SỞ,2.5 triệu/tháng,13 m2,"Thanh Xuân, Hà Nội","Nhà chung chủ, phòng ở tầng 3, vệ sinh khép kín, diện tích 13 m2 giá 2,5 triệu/tháng+ Tiền nước: 35k/khối; Điện: 4k/số; Internet: 70k/…",https://phongtro123.com/phong-cho-thue-khu-vuc-khuong-trung-nga-tu-so-pr709284.html
"Thứ 3, 10:56 07/07/2026","Phòng trọ 1,6tr Đường Phạm Văn Đồng 22m² có Điều Hòa",1.6 triệu/tháng,22 m2,"Bắc Từ Liêm, Hà Nội","Cho thuê phòng 1,6 triệu/th có máy lạnh, gần đường Phạm Văn Đồng, Mỏ, Tài Chính, C.V Hòa Bình - An ninh tốt.- Phòng có: điều hòa nhiệt độ, internet…",https://phongtro123.com/phong-tro-1-6tr-duong-pham-van-dong-22m2-co-dieu-hoa-pr709273.html
"Thứ 3, 10:50 07/07/2026","CHO THUÊ PHÒNG 2.9tr TRỌ FULL ĐỒ – CÓ THANG MÁY – GẦN ĐẠI HỌC CÔNG NGHIỆP, FPT..",2.9 triệu/tháng,20 m2,"Bắc Từ Liêm, Hà Nội","CHO THUÊ PHÒNG TRỌ GIÁ RẺ – FULL NỘI THẤT – NHÀ MỚI XÂY – CÓ THANG MÁYĐịa chỉ: Số 6, ngõ 70/79/2 Vân Trì – Nguyên Xá. Gần nhiều trường ĐH lớn:…",https://phongtro123.com/cho-thue-phong-2-9tr-tro-full-do-co-thang-may-gan-dai-hoc-cong-nghiep-fpt-pr689496.html
"Chủ Nhật, 16:53 05/07/2026","1 Ngủ 1 Khách 1 Bếp Mới Xuân Thuỷ, Hồ Tùng Mậu - đối diện ĐH Quốc Gia.",4.8 triệu/tháng,30 m2,"Cầu Giấy, Hà Nội","Siêu phẩm 1N1K 1 bếp riêng + máy giặt nhà CMNN ở Cầu Giấy - Hồ Tùng Mậu.Ngõ 85 Xuân Thuỷ Cầu GiấyThuận tiện đi lại: Cầu Giấy, Trần Bình, Hồ Tùng…",https://phongtro123.com/1-ngu-1-khach-1-bep-moi-xuan-thuy-ho-tung-mau-doi-dien-dh-quoc-gia-pr698266.html
"Chủ Nhật, 16:35 05/07/2026",Chính chủ cho thuê phòng trọ ngõ 325 Kim Ngưu_Vĩnh Tuy mới,3.3 triệu/tháng,35 m2,"Hai Bà Trưng, Hà Nội","• Diện tích: 15 - 40m2 (6 phòng) vệ sinh khép kín• Ngõ rộng, 50m ra mặt đường Lạc Trung, Kim Ngưu, gần các trường đh Bách Kinh Xây, Gần khu vực times city,…",https://phongtro123.com/chinh-chu-cho-thue-phong-tro-ngo-325-kim-nguu-vinh-tuy-moi-pr709201.html
"Chủ Nhật, 05:27 05/07/2026","Cho thuê phòng trọ kk Trần Thái Tông 3,5 tr ,gần Học Viện Báo Chí, ĐH Quốc Gia.",3.5 triệu/tháng,28 m2,"Cầu Giấy, Hà Nội","Cho thuê phòng trọ kk Trần Thái Tông 3,5 tr,gần Học Viện Báo Chí, ĐH Quốc Gia.Địa chỉ: Nhà 11A . Ngõ 35/17c Trần Thái Tông, Cầu Giấy gần ngã tư Trần Thái…",https://phongtro123.com/cho-thue-phong-tro-kk-tran-thai-tong-3-5-tr-gan-hoc-vien-bao-chi-dh-quoc-gia-pr708856.html
"Thứ 6, 13:11 03/07/2026",Phòng ccmn 25 m2 fun đồ thoáng có ban công,4 triệu/tháng,25 m2,"Bắc Từ Liêm, Hà Nội",Phòng mới vừa hoạn thiên xong fun Dồ gôm giương . Tủ quần áo . Mấy giặt tủ bếp bình nóng lanh . Điều hòa . Tủ lạnh wfai Tùng phòng,https://phongtro123.com/phong-ccmn-25-m2-fun-do-thoang-co-ban-cong-pr708272.html
"Thứ 6, 10:20 03/07/2026",PHÒNG TRỌ KHÉP KÍN 25M² ĐỐI DIỆN ĐẠI HỌC Y,3 triệu/tháng,25 m2,"Đống Đa, Hà Nội","Phòng cho thuê chính chủ, không qua trung gian - khép kín 25m2- Điều hòa, nóng lạnh đầy đủ, có sẵn 1 giường- Vị trí thuận tiện : ngõ đối diện ĐH Y,…",https://phongtro123.com/phong-tro-khep-kin-25m2-doi-dien-dai-hoc-y-pr709077.html
"Thứ 5, 17:32 02/07/2026",Phòng trọ chính chủ rộng tại ngõ 622 Minh Khai - Timecity - Hà nội,3.3 triệu/tháng,25 m2,"Hai Bà Trưng, Hà Nội","Phòng đẹp, rộng 25m2, khép kín, có đồ cơ bản ( điều hoà, tắm nóng lạnh, bàn ghế, gường, tủ) có cửa sổ, thoáng mát sát T2 Timecity, ở được 3-4…",https://phongtro123.com/phong-tro-chinh-chu-rong-tai-ngo-622-minh-khai-timecity-ha-noi-pr709064.html
"Thứ 4, 16:00 01/07/2026",CHO THUÊ TẦNG 2 & 3 MẶT PHỐ NGUYỄN LƯƠNG BẰNG – ĐỐNG ĐA,Thỏa thuận,30 m2,"Đống Đa, Hà Nội","CHO THUÊ TẦNG 2 & 3 MẶT PHỐ NGUYỄN LƯƠNG BẰNG – ĐỐNG ĐA- Mặt phố 76 Nguyễn Lương Bằng, P. Quang Trung, Đống Đa, Hà Nội - Vị trí trung tâm nhiều văn…",https://phongtro123.com/cho-thue-tang-2-3-mat-pho-nguyen-luong-bang-dong-da-pr709004.html
"Thứ 3, 15:08 30/06/2026","Cho thuê phòng trọ 28m2, khép kín ở Ngõ 121 phố Kim Ngưu, Thanh Lương, Hà Nội",2.7 triệu/tháng,28 m2,"Hai Bà Trưng, Hà Nội","Cho thuê căn hộ nhỏ 28m2, nằm trong chung cư 2 tầng, gồm 6 căn hộ nhỏ.1. Đặc điểm: Nằm ở Ngõ 121, phường thanh lương, phố Kim ngưu, quận hai bà trưng Hà…",https://phongtro123.com/dau-nam-2022-cho-thue-phong-tro-21m2-khep-kin-o-ngo-121-pho-kim-nguu-thanh-luong-ha-noi-pr596007.html
"Thứ 2, 22:17 29/06/2026","Phòng đủ đồ tầng4 thang bộ, chung chủ, gần công viên Hòa Bình 5,0 triệu/50m, Điện2,5-3,2K Nước50-70K",5 triệu/tháng,50 m2,"Bắc Từ Liêm, Hà Nội","Phòng trọ Xuân Đỉnh tầng 4 chung thang bộ với chủ nhà, gần công viên Hòa Bình 5 triệu/50m2, điện-nước giá nhà nước (2.500-3.200đ/số, nước…",https://phongtro123.com/phong-du-do-tang4-thang-bo-chung-chu-gan-cong-vien-hoa-binh-5-0-trieu-50m-dien2-5-3-2k-nuoc50-70k-pr708679.html
"Thứ 2, 18:19 29/06/2026","Cho thuê Phòng tại Ngõ 766, phố La Thành, Giảng Võ, Ba Đình, HN",3 triệu/tháng,25 m2,"Ba Đình, Hà Nội","Nhà tôi còn 01 phòng tại tầng 5 muốn cho thuê. Diện tích 25m2, khép kín, cửa sổ to thoáng mát, sạch, đẹp, yên tĩnh,… hệ thống điện, nước đồng bộ,…",https://phongtro123.com/cho-thue-phong-tai-ngo-766-pho-la-thanh-giang-vo-ba-dinh-hn-pr708923.html
"Thứ 2, 16:25 29/06/2026","Cho thuê phòng trọ khu X2A, Yên Sở, Hà Nội.",2.5 triệu/tháng,25 m2,"Hoàng Mai, Hà Nội","Phòng trọ 25m2 khép kín đầy đủ điều hoà nóng lạnh. Phòng trong nhà 5 tầng, thoáng mát sạch sẽ. Nhà trong khu phâm lô đường rộng, an ninh tốt. Đi lại ko…",https://phongtro123.com/cho-thue-phong-tro-khu-x2a-yen-so-ha-noi-pr707525.html
"Thứ 2, 16:17 29/06/2026","CHO THUÊ PHÒNG FULL ĐỒ, QUAN NHÂN, GẦN CHỢ, CẦU VƯỢT LÊ VĂN LƯƠNG, NHÀ MỚI",5.1 triệu/tháng,30 m2,"Thanh Xuân, Hà Nội","Cho thuê phòng nhà mới, full đồ, rộng thoáng, số 52, ngõ 144 Quan Nhân, Thanh Xuân, Hà Nội.Vị trí trung tâm thuận tiện đi lạiGiá: 5,100,000đ/thángLH số đt…",https://phongtro123.com/cho-thue-ccmn-full-do-quan-nhan-gan-tro-cau-vuot-le-van-luong-nha-moi-2-pr690322.html
"Thứ 2, 15:12 29/06/2026",cho thuê 2 phòng trọ còn trống tại khu vực Quan Nhân Thanh Xuân,3 triệu/tháng,20 m2,"Thanh Xuân, Hà Nội",cho thuê 2 phòng trọ còn trống tại khu vực Quan Nhân Thanh Xuâncó chỗ phơi quần áocửa vân tay đi lại thoải mái 24/24nếu muốn nhắn zalo thì nhắn số…,https://phongtro123.com/cho-thue-2-phong-tro-con-trong-tai-khu-vuc-quan-nhan-thanh-xuan-pr708912.html
"Thứ 2, 10:55 29/06/2026","Cho thuê phòng 2tr2/tháng Full đồ ngõ 1096 Đường Láng, gần DH GTVT, cầu 361",2.2 triệu/tháng,20 m2,"Đống Đa, Hà Nội","Địa chỉ: ngõ 1096 Đường Láng, Láng Thượng, Đống Đa, Hà Nội- Nhà có sân rộng, sạch sẽ, thoáng mát- Nội thất đầy đủ: Máy lạnh, tủ quần áo, bàn…",https://phongtro123.com/cho-thue-phong-1-950k-thang-full-do-ngo-1096-duong-lang-gan-dh-gtvt-cau-361-pr708020.html
"Chủ Nhật, 22:26 28/06/2026",Phòng trọ khép kín 27m mới tinh - Nhà 3 mặt thoáng vô cùng mát mẻ,5 triệu/tháng,27 m2,"Nam Từ Liêm, Hà Nội","• Nội thất: Sẵn giường đôi, tủ quần áo gỗ cao cấp, bếp nấu riêng biệt đảm bảo không mùi, sạch sẽ.• Thiết bị: Điều hòa mát sâu, bình nóng…",https://phongtro123.com/phong-tro-khep-kin-27m-moi-tinh-nha-3-mat-thoang-vo-cung-mat-me-pr708886.html
"Chủ Nhật, 22:14 28/06/2026","Diện tích: ~15m² (Phòng vuông vắn, tối ưu không gian, có cửa sổ lớn cực thoáng mát)",3.2 triệu/tháng,15 m2,"Nam Từ Liêm, Hà Nội","PHÒNG FULL NỘI THẤT – THANG MÁY – GIÁ CHỈ 3,2 TRIỆU/THÁNG - Ngõ 169 Trung Văn – vị trí thuận tiện, khu dân cư văn minh, an ninh.- Phòng đầy đủ nội…",https://phongtro123.com/dien-tich-15m2-phong-vuong-van-toi-uu-khong-gian-co-cua-so-lon-cuc-thoang-mat-pr708884.html
